,vulnName,changeset,CVE,BID,BugzillaOpendate,reporttime,patchrelease
1264,1369836,80be04d5ab1a aae715e5060b,CVE-2017-7780,100199,2017-06-02,2017-08-08,2017-08-08
1265,1369913,9b6d3584c9b8 642596497ac6,CVE-2017-7779,100201,2017-06-02,2017-08-08,2017-08-08
1266,1370070,b18762d91f3f,CVE-2017-7780,100199,2017-06-04,2017-08-08,2017-08-08
1267,1371283,262421710040 583d168dbe90,CVE-2017-7779,100201,2017-06-08,2017-08-08,2017-08-08
1268,1371424,f5d25845cb77 419068189206,CVE-2017-7779,100201,2017-06-08,2017-08-08,2017-08-08
1269,1371891,60bcd543f142,CVE-2018-5090,102786,2017-06-09,2018-01-23,2018-01-23
1270,1371982,fdbaaf9168ee 79a937693943,CVE-2017-7780,100199,2017-06-11,2017-08-08,2017-08-08
1271,1372849,87cf3117088c d231d2ff17b1,CVE-2017-7804,100234,2017-06-14,2017-08-08,2017-08-08
1272,1373220,6cb0fcbcdd50 74382cf3e203,CVE-2017-7779,100201,2017-06-15,2017-08-08,2017-08-08
1273,1374047,bc535203a6ef a9897f5c997e,CVE-2017-7800,100196,2017-06-18,2017-08-08,2017-08-08
1274,1375146,d4496b8befbf 76ace2631acc,CVE-2017-7826,101832,2017-06-21,2017-11-14,2017-11-14
1275,1376036,71aa5b9fdb38,CVE-2017-7814,101059,2017-06-23,2017-09-28,2017-09-28
1276,1376087,8bf05205295d fc0f7fd5c3cc,CVE-2017-7784,100202,2017-06-24,2017-08-08,2017-08-08
1277,1378147,e23b4fd5dce3 0d6599e2269d,CVE-2017-7802,100202,2017-07-04,2017-08-08,2017-08-08
1278,1378658,b84a44392603,CVE-2017-7811,101057,2017-07-05,2017-09-28,2017-09-28
1279,1379411,4ffdf21d17fa e565eaca9472,CVE-2018-12388,105721,2017-07-08,2018-10-23,2018-10-23
1280,1379414,853cfa601a8f,CVE-2017-7811,101057,2017-07-08,2017-09-28,2017-09-28
1281,1380292,c5cb3aad36f8 d669c5ad9dd4,CVE-2017-7819,101055,2017-07-12,2017-09-28,2017-09-28
1282,1382366,53f055298fa9 42564e015369 9b8d0f078327,CVE-2018-5089,102783,2017-07-19,2018-01-23,2018-01-23
1283,1383002,4a444c40f63b f3b0db0e8b2d,CVE-2017-7779,100201,2017-07-21,2017-08-08,2017-08-08
1284,1383019,2c443551b3cc,CVE-2017-7827,101832,2017-07-21,2017-11-14,2017-11-14
1285,1384544,971c6a19e3b5,CVE-2018-5090,102786,2017-07-26,2018-01-23,2018-01-23
1286,1385112,bdfd46134a24 5dea5dba2f49 c743648bf55b,CVE-2017-7811,101057,2017-07-27,2017-09-28,2017-09-28
1287,1386787,cd9aa3938195 234a1abc97dd,CVE-2017-7810,101054,2017-08-02,2017-09-28,2017-09-28
1288,1387799,8199078921c6 598d726067c4,CVE-2017-7826,101832,2017-08-05,2017-11-14,2017-11-14
1289,1387845,6099148d38ae,CVE-2017-7827,101832,2017-08-06,2017-11-14,2017-11-14
1290,1388015,f31349fb06dd 127895e5664c,CVE-2019-11737,,,2019-09-27,2019-09-03
1291,1388113,58d61063edc3 3ff79328db1c,CVE-2017-7811,101057,2017-08-07,2017-09-28,2017-09-28
1292,1389974,2b18295208be 3c6ea99a33d9 f5a6df8b2f68 ee991c185e3d 1690554a9c01 1c2a0b70e447 b55ee75e7aba,CVE-2017-7810,101054,2017-08-13,2017-09-28,2017-09-28
1293,1390550,39d42c06e5ae 7f8bf90b70e0,CVE-2017-7810,101054,2017-08-15,2017-09-28,2017-09-28
1294,1392105,db6afcdb09c0 8190fc1ba510 1fd4f4337aae,CVE-2017-7811,101057,2017-08-20,2017-09-28,2017-09-28
1295,1393367,1908cd8ed88d 9718d92fab4d,CVE-2018-5150,104136,2017-08-24,2018-05-09,2018-05-09
1296,1394031,9cb5d9d656d2,CVE-2017-7827,101832,2017-08-25,2017-11-14,2017-11-14
1297,1394522,870c7725fccc a36d089f670f,CVE-2017-7811,101057,2017-08-28,2017-09-28,2017-09-28
1298,1394530,079ff8998fd5 678f34ce1b2f,CVE-2017-7826,101832,2017-08-28,2017-11-14,2017-11-14
